model,model_id,blur_type,severity,image_id,true_label,raw_response,prediction,valid_response,correct,latency_seconds,cost_usd
claude_opus,anthropic/claude-opus-5,motion_blur,1,98,airplane,airplane,airplane,1,1,2.724,0.00053
claude_opus,anthropic/claude-opus-5,motion_blur,1,352,airplane,ship,ship,1,0,2.856,0.000505
claude_opus,anthropic/claude-opus-5,motion_blur,1,179,airplane,truck,truck,1,0,3.972,0.000755
claude_opus,anthropic/claude-opus-5,motion_blur,1,74,airplane,truck,truck,1,0,4.069,0.000755
claude_opus,anthropic/claude-opus-5,motion_blur,1,52,airplane,airplane,airplane,1,1,4.185,0.00108
claude_opus,anthropic/claude-opus-5,motion_blur,1,269,airplane,bird,bird,1,0,4.196,0.00093
claude_opus,anthropic/claude-opus-5,motion_blur,1,192,airplane,ship,ship,1,0,4.301,0.001005
claude_opus,anthropic/claude-opus-5,motion_blur,1,287,airplane,ship,ship,1,0,4.302,0.000705
claude_opus,anthropic/claude-opus-5,motion_blur,1,338,airplane,bird,bird,1,0,4.406,0.00078
claude_opus,anthropic/claude-opus-5,motion_blur,1,44,airplane,airplane,airplane,1,1,4.429,0.00118
claude_opus,anthropic/claude-opus-5,motion_blur,1,97,airplane,airplane,airplane,1,1,4.431,0.000855
claude_opus,anthropic/claude-opus-5,motion_blur,1,10,airplane,airplane,airplane,1,1,4.45,0.001005
claude_opus,anthropic/claude-opus-5,motion_blur,1,90,airplane,airplane,airplane,1,1,4.451,0.00088
claude_opus,anthropic/claude-opus-5,motion_blur,1,206,airplane,airplane,airplane,1,1,4.467,0.00098
claude_opus,anthropic/claude-opus-5,motion_blur,1,27,airplane,airplane,airplane,1,1,4.494,0.000905
claude_opus,anthropic/claude-opus-5,motion_blur,1,315,airplane,bird,bird,1,0,4.494,0.00128
claude_opus,anthropic/claude-opus-5,motion_blur,1,298,airplane,airplane,airplane,1,1,4.501,0.00093
claude_opus,anthropic/claude-opus-5,motion_blur,1,313,airplane,bird,bird,1,0,4.529,0.001055
claude_opus,anthropic/claude-opus-5,motion_blur,1,276,airplane,airplane,airplane,1,1,4.604,0.000955
claude_opus,anthropic/claude-opus-5,motion_blur,1,154,airplane,airplane,airplane,1,1,4.617,0.001005
claude_opus,anthropic/claude-opus-5,motion_blur,1,281,airplane,airplane,airplane,1,1,4.644,0.001705
claude_opus,anthropic/claude-opus-5,motion_blur,1,189,airplane,airplane,airplane,1,1,4.691,0.001255
claude_opus,anthropic/claude-opus-5,motion_blur,1,235,airplane,airplane,airplane,1,1,4.754,0.00093
claude_opus,anthropic/claude-opus-5,motion_blur,1,264,airplane,airplane,airplane,1,1,4.758,0.001255
claude_opus,anthropic/claude-opus-5,motion_blur,1,297,airplane,airplane,airplane,1,1,4.821,0.001005
claude_opus,anthropic/claude-opus-5,motion_blur,1,180,airplane,airplane,airplane,1,1,4.844,0.000805
claude_opus,anthropic/claude-opus-5,motion_blur,1,169,airplane,horse,horse,1,0,4.903,0.00143
claude_opus,anthropic/claude-opus-5,motion_blur,1,255,airplane,airplane,airplane,1,1,4.911,0.00118
claude_opus,anthropic/claude-opus-5,motion_blur,1,153,airplane,airplane,airplane,1,1,4.991,0.00088
claude_opus,anthropic/claude-opus-5,motion_blur,1,3,airplane,airplane,airplane,1,1,4.998,0.00108
claude_opus,anthropic/claude-opus-5,motion_blur,1,215,airplane,airplane,airplane,1,1,5.002,0.00113
claude_opus,anthropic/claude-opus-5,motion_blur,1,284,airplane,ship,ship,1,0,5.053,0.00133
claude_opus,anthropic/claude-opus-5,motion_blur,1,125,airplane,airplane,airplane,1,1,5.205,0.001055
claude_opus,anthropic/claude-opus-5,motion_blur,1,237,airplane,ship,ship,1,0,5.266,0.002155
claude_opus,anthropic/claude-opus-5,motion_blur,1,257,airplane,bird,bird,1,0,5.28,0.00143
claude_opus,anthropic/claude-opus-5,motion_blur,1,244,airplane,ship,ship,1,0,5.296,0.00228
claude_opus,anthropic/claude-opus-5,motion_blur,1,359,airplane,airplane,airplane,1,1,2.598,0.00053
claude_opus,anthropic/claude-opus-5,motion_blur,1,116,airplane,airplane,airplane,1,1,5.332,0.001155
claude_opus,anthropic/claude-opus-5,motion_blur,1,258,airplane,ship,ship,1,0,5.35,0.00173
claude_opus,anthropic/claude-opus-5,motion_blur,1,21,airplane,bird,bird,1,0,5.451,0.002505
claude_opus,anthropic/claude-opus-5,motion_blur,1,111,airplane,ship,ship,1,0,5.683,0.00193
claude_opus,anthropic/claude-opus-5,motion_blur,1,376,airplane,airplane,airplane,1,1,3.787,0.000855
claude_opus,anthropic/claude-opus-5,motion_blur,1,638,airplane,airplane,airplane,1,1,2.165,0.00053
claude_opus,anthropic/claude-opus-5,motion_blur,1,689,airplane,airplane,airplane,1,1,2.27,0.00053
claude_opus,anthropic/claude-opus-5,motion_blur,1,382,airplane,airplane,airplane,1,1,3.456,0.000905
claude_opus,anthropic/claude-opus-5,motion_blur,1,406,airplane,airplane,airplane,1,1,3.492,0.00078
claude_opus,anthropic/claude-opus-5,motion_blur,1,422,airplane,airplane,airplane,1,1,3.54,0.00093
claude_opus,anthropic/claude-opus-5,motion_blur,1,522,airplane,airplane,airplane,1,1,3.328,0.000805
claude_opus,anthropic/claude-opus-5,motion_blur,1,398,airplane,airplane,airplane,1,1,3.776,0.00088
claude_opus,anthropic/claude-opus-5,motion_blur,1,499,airplane,airplane,airplane,1,1,3.556,0.001005
claude_opus,anthropic/claude-opus-5,motion_blur,1,378,airplane,airplane,airplane,1,1,4.184,0.001105
claude_opus,anthropic/claude-opus-5,motion_blur,1,524,airplane,airplane,airplane,1,1,3.598,0.000855
claude_opus,anthropic/claude-opus-5,motion_blur,1,447,airplane,airplane,airplane,1,1,3.943,0.000905
claude_opus,anthropic/claude-opus-5,motion_blur,1,423,airplane,airplane,airplane,1,1,3.971,0.001005
claude_opus,anthropic/claude-opus-5,motion_blur,1,602,airplane,airplane,airplane,1,1,3.484,0.000855
claude_opus,anthropic/claude-opus-5,motion_blur,1,491,airplane,cat,cat,1,0,3.925,0.001155
claude_opus,anthropic/claude-opus-5,motion_blur,1,667,airplane,airplane,airplane,1,1,3.494,0.000905
claude_opus,anthropic/claude-opus-5,motion_blur,1,581,airplane,airplane,airplane,1,1,3.692,0.001005
claude_opus,anthropic/claude-opus-5,motion_blur,1,477,airplane,ship,ship,1,0,4.082,0.000955
claude_opus,anthropic/claude-opus-5,motion_blur,1,527,airplane,airplane,airplane,1,1,3.959,0.00078
claude_opus,anthropic/claude-opus-5,motion_blur,1,489,airplane,airplane,airplane,1,1,4.154,0.000905
claude_opus,anthropic/claude-opus-5,motion_blur,1,539,airplane,airplane,airplane,1,1,3.888,0.00093
claude_opus,anthropic/claude-opus-5,motion_blur,1,560,airplane,airplane,airplane,1,1,3.925,0.000855
claude_opus,anthropic/claude-opus-5,motion_blur,1,642,airplane,airplane,airplane,1,1,3.805,0.00128
claude_opus,anthropic/claude-opus-5,motion_blur,1,416,airplane,frog,frog,1,0,4.505,0.001505
claude_opus,anthropic/claude-opus-5,motion_blur,1,678,airplane,truck,truck,1,0,3.855,0.00128
claude_opus,anthropic/claude-opus-5,motion_blur,1,531,airplane,airplane,airplane,1,1,4.247,0.00128
claude_opus,anthropic/claude-opus-5,motion_blur,1,526,airplane,airplane,airplane,1,1,4.34,0.00123
claude_opus,anthropic/claude-opus-5,motion_blur,1,428,airplane,bird,bird,1,0,4.612,0.002105
claude_opus,anthropic/claude-opus-5,motion_blur,1,742,airplane,airplane,airplane,1,1,3.78,0.000955
claude_opus,anthropic/claude-opus-5,motion_blur,1,584,airplane,airplane,airplane,1,1,4.215,0.00108
claude_opus,anthropic/claude-opus-5,motion_blur,1,496,airplane,airplane,airplane,1,1,4.569,0.001205
claude_opus,anthropic/claude-opus-5,motion_blur,1,473,airplane,airplane,airplane,1,1,4.715,0.00183
claude_opus,anthropic/claude-opus-5,motion_blur,1,767,airplane,ship,ship,1,0,3.952,0.001155
claude_opus,anthropic/claude-opus-5,motion_blur,1,778,airplane,airplane,airplane,1,1,3.95,0.001055
claude_opus,anthropic/claude-opus-5,motion_blur,1,785,airplane,airplane,airplane,1,1,4.03,0.001255
claude_opus,anthropic/claude-opus-5,motion_blur,1,791,airplane,airplane,airplane,1,1,4.085,0.001005
claude_opus,anthropic/claude-opus-5,motion_blur,1,814,airplane,truck,truck,1,0,3.888,0.00083
claude_opus,anthropic/claude-opus-5,motion_blur,1,763,airplane,airplane,airplane,1,1,4.422,0.001255
claude_opus,anthropic/claude-opus-5,motion_blur,1,774,airplane,bird,bird,1,0,4.383,0.001505
claude_opus,anthropic/claude-opus-5,motion_blur,1,675,airplane,bird,bird,1,0,4.989,0.00123
claude_opus,anthropic/claude-opus-5,motion_blur,1,975,airplane,ship,ship,1,0,2.153,0.000505
claude_opus,anthropic/claude-opus-5,motion_blur,1,822,airplane,airplane,airplane,1,1,4.241,0.001305
claude_opus,anthropic/claude-opus-5,motion_blur,1,1010,airplane,airplane,airplane,1,1,2.259,0.00053
claude_opus,anthropic/claude-opus-5,motion_blur,1,847,airplane,airplane,airplane,1,1,3.624,0.000955
claude_opus,anthropic/claude-opus-5,motion_blur,1,841,airplane,airplane,airplane,1,1,4.224,0.00178
claude_opus,anthropic/claude-opus-5,motion_blur,1,868,airplane,airplane,airplane,1,1,3.521,0.000905
claude_opus,anthropic/claude-opus-5,motion_blur,1,885,airplane,airplane,airplane,1,1,3.394,0.00088
claude_opus,anthropic/claude-opus-5,motion_blur,1,854,airplane,airplane,airplane,1,1,3.963,0.00108
claude_opus,anthropic/claude-opus-5,motion_blur,1,857,airplane,airplane,airplane,1,1,3.802,0.00103
claude_opus,anthropic/claude-opus-5,motion_blur,1,888,airplane,airplane,airplane,1,1,3.481,0.00093
claude_opus,anthropic/claude-opus-5,motion_blur,1,883,airplane,airplane,airplane,1,1,3.852,0.001255
claude_opus,anthropic/claude-opus-5,motion_blur,1,864,airplane,airplane,airplane,1,1,4.146,0.001105
claude_opus,anthropic/claude-opus-5,motion_blur,1,919,airplane,airplane,airplane,1,1,3.661,0.000805
claude_opus,anthropic/claude-opus-5,motion_blur,1,914,airplane,airplane,airplane,1,1,3.723,0.00108
claude_opus,anthropic/claude-opus-5,motion_blur,1,946,airplane,airplane,airplane,1,1,3.626,0.00093
claude_opus,anthropic/claude-opus-5,motion_blur,1,944,airplane,airplane,airplane,1,1,3.79,0.00108
