model,model_id,blur_type,severity,image_id,true_label,raw_response,prediction,valid_response,correct,latency_seconds,cost_usd
grok,x-ai/grok-4.3,defocus_blur,1,10,airplane,airplane,airplane,1,1,0.999,0.00015935
grok,x-ai/grok-4.3,defocus_blur,1,3,airplane,ship,ship,1,0,1.007,0.00015685
kimi,moonshotai/kimi-k3,defocus_blur,1,10,airplane,airplane,airplane,1,1,1.215,0.0003993
claude_haiku,anthropic/claude-haiku-4.5,defocus_blur,1,3,airplane,ship,ship,1,0,1.226,8.2e-05
claude_haiku,anthropic/claude-haiku-4.5,defocus_blur,1,10,airplane,dog,dog,1,0,1.243,8.2e-05
gpt_luna,openai/gpt-5.6-luna,defocus_blur,1,10,airplane,airplane,airplane,1,1,1.37,1.72e-05
gpt_luna,openai/gpt-5.6-luna,defocus_blur,1,3,airplane,airplane,airplane,1,1,1.379,1.72e-05
gpt_terra,openai/gpt-5.6-terra,defocus_blur,1,3,airplane,airplane,airplane,1,1,1.515,0.000172
gpt_sol,openai/gpt-5.6-sol,defocus_blur,1,10,airplane,airplane,airplane,1,1,1.534,0.00016
gpt_terra,openai/gpt-5.6-terra,defocus_blur,1,10,airplane,airplane,airplane,1,1,1.653,0.000172
gemini,google/gemini-3.1-flash-lite,defocus_blur,1,10,airplane,airplane,airplane,1,1,1.769,0.0002845
claude_haiku,anthropic/claude-haiku-4.5,defocus_blur,1,21,airplane,airplane,airplane,1,1,0.77,8.2e-05
gpt_sol,openai/gpt-5.6-sol,defocus_blur,1,3,airplane,airplane,airplane,1,1,1.783,0.00016
grok,x-ai/grok-4.3,defocus_blur,1,21,airplane,ship,ship,1,0,0.653,8.965e-05
gpt_luna,openai/gpt-5.6-luna,defocus_blur,1,21,airplane,airplane,airplane,1,1,0.815,1.72e-05
gpt_sol,openai/gpt-5.6-sol,defocus_blur,1,21,airplane,airplane,airplane,1,1,1.072,0.00016
gpt_terra,openai/gpt-5.6-terra,defocus_blur,1,21,airplane,airplane,airplane,1,1,0.894,0.000172
claude_haiku,anthropic/claude-haiku-4.5,defocus_blur,1,27,airplane,bird,bird,1,0,0.807,8.2e-05
gemini,google/gemini-3.1-flash-lite,defocus_blur,1,21,airplane,airplane,airplane,1,1,1.292,0.0002845
grok,x-ai/grok-4.3,defocus_blur,1,27,airplane,bird,bird,1,0,0.542,8.965e-05
kimi,moonshotai/kimi-k3,defocus_blur,1,3,airplane,airplane,airplane,1,1,2.597,0.0003993
gpt_luna,openai/gpt-5.6-luna,defocus_blur,1,27,airplane,airplane,airplane,1,1,0.841,1.72e-05
gpt_terra,openai/gpt-5.6-terra,defocus_blur,1,27,airplane,frog,frog,1,0,0.935,0.00016
kimi,moonshotai/kimi-k3,defocus_blur,1,27,airplane,frog,frog,1,0,0.708,0.0003828
kimi,moonshotai/kimi-k3,defocus_blur,1,21,airplane,airplane,airplane,1,1,1.514,0.00034485
claude_sonnet,anthropic/claude-sonnet-5,defocus_blur,1,3,airplane,airplane,airplane,1,1,2.949,0.000212
claude_sonnet,anthropic/claude-sonnet-5,defocus_blur,1,21,airplane,airplane,airplane,1,1,3.04,0.000212
claude_sonnet,anthropic/claude-sonnet-5,defocus_blur,1,10,airplane,airplane,airplane,1,1,3.05,0.000212
claude_haiku,anthropic/claude-haiku-4.5,defocus_blur,1,44,airplane,truck,truck,1,0,0.778,8.2e-05
gemini,google/gemini-3.1-flash-lite,defocus_blur,1,27,airplane,airplane,airplane,1,1,1.303,0.0002845
grok,x-ai/grok-4.3,defocus_blur,1,44,airplane,ship,ship,1,0,0.647,8.965e-05
gpt_luna,openai/gpt-5.6-luna,defocus_blur,1,44,airplane,airplane,airplane,1,1,0.869,1.72e-05
claude_sonnet,anthropic/claude-sonnet-5,defocus_blur,1,27,airplane,frog,frog,1,0,2.187,0.000202
claude_haiku,anthropic/claude-haiku-4.5,defocus_blur,1,52,airplane,bird,bird,1,0,0.87,8.2e-05
gemini,google/gemini-3.1-flash-lite,defocus_blur,1,44,airplane,airplane,airplane,1,1,1.303,0.0002845
gpt_terra,openai/gpt-5.6-terra,defocus_blur,1,44,airplane,frog,frog,1,0,1.541,0.00016
grok,x-ai/grok-4.3,defocus_blur,1,52,airplane,ship,ship,1,0,0.631,8.965e-05
gpt_luna,openai/gpt-5.6-luna,defocus_blur,1,52,airplane,airplane,airplane,1,1,1.096,1.72e-05
gpt_terra,openai/gpt-5.6-terra,defocus_blur,1,52,airplane,airplane,airplane,1,1,1.248,0.000172
gpt_sol,openai/gpt-5.6-sol,defocus_blur,1,44,airplane,airplane,airplane,1,1,2.022,0.00016
gemini,google/gemini-3.1-flash-lite,defocus_blur,1,3,airplane,airplane,airplane,1,1,4.628,0.0002845
gemini,google/gemini-3.1-flash-lite,defocus_blur,1,52,airplane,airplane,airplane,1,1,1.187,0.0002845
claude_opus,anthropic/claude-opus-5,defocus_blur,1,3,airplane,airplane,airplane,1,1,4.731,0.00113
gpt_sol,openai/gpt-5.6-sol,defocus_blur,1,52,airplane,airplane,airplane,1,1,1.437,0.00016
claude_sonnet,anthropic/claude-sonnet-5,defocus_blur,1,44,airplane,frog,frog,1,0,2.513,0.000202
claude_opus,anthropic/claude-opus-5,defocus_blur,1,21,airplane,bird,bird,1,0,5.073,0.00138
claude_haiku,anthropic/claude-haiku-4.5,defocus_blur,1,74,airplane,truck,truck,1,0,0.794,8.2e-05
claude_sonnet,anthropic/claude-sonnet-5,defocus_blur,1,52,airplane,airplane,airplane,1,1,2.238,0.000212
claude_opus,anthropic/claude-opus-5,defocus_blur,1,27,airplane,airplane,airplane,1,1,3.853,0.000805
gpt_luna,openai/gpt-5.6-luna,defocus_blur,1,74,airplane,automobile,automobile,1,0,0.808,1.72e-05
grok,x-ai/grok-4.3,defocus_blur,1,74,airplane,truck,truck,1,0,0.77,8.965e-05
claude_opus,anthropic/claude-opus-5,defocus_blur,1,10,airplane,horse,horse,1,0,5.526,0.001655
gpt_terra,openai/gpt-5.6-terra,defocus_blur,1,74,airplane,frog,frog,1,0,1.11,0.00016
gpt_sol,openai/gpt-5.6-sol,defocus_blur,1,74,airplane,horse,horse,1,0,1.163,0.00015
