model,model_id,blur_type,severity,image_id,true_label,raw_response,prediction,valid_response,correct,latency_seconds,cost_usd
kimi,moonshotai/kimi-k3,glass_blur,1,0,cat,cat,cat,1,1,1.249,0.0003306
claude_haiku,anthropic/claude-haiku-4.5,glass_blur,1,3,airplane,truck,truck,1,0,1.051,8.2e-05
claude_haiku,anthropic/claude-haiku-4.5,glass_blur,1,10,airplane,dog,dog,1,0,1.063,8.2e-05
grok,x-ai/grok-4.3,glass_blur,1,10,airplane,ship,ship,1,0,1.181,0.00015685
gpt_sol,openai/gpt-5.6-sol,glass_blur,1,3,airplane,ship,ship,1,0,1.222,0.00015
grok,x-ai/grok-4.3,glass_blur,1,3,airplane,ship,ship,1,0,1.284,0.00015685
kimi,moonshotai/kimi-k3,glass_blur,1,10,airplane,airplane,airplane,1,1,1.292,0.00034485
kimi,moonshotai/kimi-k3,glass_blur,1,3,airplane,airplane,airplane,1,1,1.304,0.00034485
gpt_terra,openai/gpt-5.6-terra,glass_blur,1,10,airplane,bird,bird,1,0,1.345,0.00016
gpt_luna,openai/gpt-5.6-luna,glass_blur,1,3,airplane,airplane,airplane,1,1,1.373,1.72e-05
gpt_terra,openai/gpt-5.6-terra,glass_blur,1,3,airplane,ship,ship,1,0,1.377,0.00016
gemini,google/gemini-3.1-flash-lite,glass_blur,1,3,airplane,airplane,airplane,1,1,1.556,0.0002845
gemini,google/gemini-3.1-flash-lite,glass_blur,1,10,airplane,airplane,airplane,1,1,1.703,0.0002845
claude_haiku,anthropic/claude-haiku-4.5,glass_blur,1,21,airplane,bird,bird,1,0,0.753,8.2e-05
grok,x-ai/grok-4.3,glass_blur,1,21,airplane,bird,bird,1,0,0.552,8.965e-05
gpt_terra,openai/gpt-5.6-terra,glass_blur,1,21,airplane,bird,bird,1,0,0.855,0.00016
gpt_luna,openai/gpt-5.6-luna,glass_blur,1,21,airplane,bird,bird,1,0,0.819,1.6e-05
gpt_luna,openai/gpt-5.6-luna,glass_blur,1,10,airplane,bird,bird,1,0,2.216,1.6e-05
gpt_sol,openai/gpt-5.6-sol,glass_blur,1,10,airplane,airplane,airplane,1,1,2.222,0.00016
gpt_sol,openai/gpt-5.6-sol,glass_blur,1,21,airplane,airplane,airplane,1,1,1.332,0.00016
gpt_terra,openai/gpt-5.6-terra,glass_blur,1,27,airplane,frog,frog,1,0,0.853,0.00016
gpt_luna,openai/gpt-5.6-luna,glass_blur,1,27,airplane,deer,deer,1,0,0.794,1.72e-05
grok,x-ai/grok-4.3,glass_blur,1,27,airplane,bird,bird,1,0,0.605,8.965e-05
gemini,google/gemini-3.1-flash-lite,glass_blur,1,21,airplane,airplane,airplane,1,1,1.431,0.0002845
claude_sonnet,anthropic/claude-sonnet-5,glass_blur,1,3,airplane,airplane,airplane,1,1,2.934,0.000212
claude_sonnet,anthropic/claude-sonnet-5,glass_blur,1,21,airplane,airplane,airplane,1,1,3.062,0.000212
gpt_sol,openai/gpt-5.6-sol,glass_blur,1,27,airplane,airplane,airplane,1,1,1.6,0.00016
claude_sonnet,anthropic/claude-sonnet-5,glass_blur,1,10,airplane,airplane,airplane,1,1,3.168,0.000212
claude_haiku,anthropic/claude-haiku-4.5,glass_blur,1,44,airplane,truck,truck,1,0,0.945,8.2e-05
gpt_terra,openai/gpt-5.6-terra,glass_blur,1,44,airplane,frog,frog,1,0,0.881,0.00016
gpt_luna,openai/gpt-5.6-luna,glass_blur,1,44,airplane,ship,ship,1,0,0.842,1.6e-05
grok,x-ai/grok-4.3,glass_blur,1,44,airplane,ship,ship,1,0,0.652,8.965e-05
claude_haiku,anthropic/claude-haiku-4.5,glass_blur,1,27,airplane,bird,bird,1,0,2.216,8.2e-05
gpt_sol,openai/gpt-5.6-sol,glass_blur,1,44,airplane,airplane,airplane,1,1,1.123,0.00016
claude_sonnet,anthropic/claude-sonnet-5,glass_blur,1,27,airplane,frog,frog,1,0,2.456,0.000202
gemini,google/gemini-3.1-flash-lite,glass_blur,1,44,airplane,bird,bird,1,0,1.259,0.0002845
claude_haiku,anthropic/claude-haiku-4.5,glass_blur,1,52,airplane,bird,bird,1,0,0.795,8.2e-05
claude_opus,anthropic/claude-opus-5,glass_blur,1,10,airplane,airplane,airplane,1,1,4.331,0.000805
kimi,moonshotai/kimi-k3,glass_blur,1,27,airplane,frog,frog,1,0,2.293,0.0003306
grok,x-ai/grok-4.3,glass_blur,1,52,airplane,ship,ship,1,0,0.656,8.965e-05
gpt_sol,openai/gpt-5.6-sol,glass_blur,1,52,airplane,airplane,airplane,1,1,0.985,0.00016
gpt_luna,openai/gpt-5.6-luna,glass_blur,1,52,airplane,deer,deer,1,0,0.949,1.72e-05
claude_opus,anthropic/claude-opus-5,glass_blur,1,21,airplane,bird,bird,1,0,4.544,0.001055
gpt_terra,openai/gpt-5.6-terra,glass_blur,1,52,airplane,frog,frog,1,0,1.142,0.00016
claude_opus,anthropic/claude-opus-5,glass_blur,1,3,airplane,airplane,airplane,1,1,4.798,0.00103
claude_sonnet,anthropic/claude-sonnet-5,glass_blur,1,44,airplane,frog,frog,1,0,2.728,0.000202
grok,x-ai/grok-4.3,glass_blur,1,74,airplane,ship,ship,1,0,0.57,0.00015685
claude_haiku,anthropic/claude-haiku-4.5,glass_blur,1,74,airplane,horse,horse,1,0,0.799,8.2e-05
kimi,moonshotai/kimi-k3,glass_blur,1,74,airplane,truck,truck,1,0,0.517,0.00034485
gemini,google/gemini-3.1-flash-lite,glass_blur,1,52,airplane,bird,bird,1,0,1.7,0.0002845
gpt_luna,openai/gpt-5.6-luna,glass_blur,1,74,airplane,frog,frog,1,0,0.88,1.6e-05
gpt_sol,openai/gpt-5.6-sol,glass_blur,1,74,airplane,horse,horse,1,0,1.058,0.00015
kimi,moonshotai/kimi-k3,glass_blur,1,44,airplane,bird,bird,1,0,2.371,0.0003306
kimi,moonshotai/kimi-k3,glass_blur,1,52,airplane,bird,bird,1,0,1.63,0.0003306
gemini,google/gemini-3.1-flash-lite,glass_blur,1,27,airplane,airplane,airplane,1,1,3.667,0.0002845
claude_sonnet,anthropic/claude-sonnet-5,glass_blur,1,52,airplane,dog,dog,1,0,2.525,0.000202
kimi,moonshotai/kimi-k3,glass_blur,1,21,airplane,airplane,airplane,1,1,4.465,0.000399
claude_haiku,anthropic/claude-haiku-4.5,glass_blur,1,90,airplane,airplane,airplane,1,1,0.762,8.2e-05
gemini,google/gemini-3.1-flash-lite,glass_blur,1,74,airplane,frog,frog,1,0,1.403,0.0002845
grok,x-ai/grok-4.3,glass_blur,1,90,airplane,ship,ship,1,0,0.558,0.00015685
gpt_luna,openai/gpt-5.6-luna,glass_blur,1,90,airplane,ship,ship,1,0,0.781,1.6e-05
gpt_terra,openai/gpt-5.6-terra,glass_blur,1,90,airplane,ship,ship,1,0,0.935,0.00016
kimi,moonshotai/kimi-k3,glass_blur,1,90,airplane,bird,bird,1,0,0.864,0.0003306
claude_sonnet,anthropic/claude-sonnet-5,glass_blur,1,74,airplane,horse,horse,1,0,2.281,0.000202
gpt_sol,openai/gpt-5.6-sol,glass_blur,1,90,airplane,airplane,airplane,1,1,1.303,0.00016
claude_haiku,anthropic/claude-haiku-4.5,glass_blur,1,97,airplane,airplane,airplane,1,1,0.93,8.2e-05
claude_opus,anthropic/claude-opus-5,glass_blur,1,44,airplane,bird,bird,1,0,4.43,0.00178
grok,x-ai/grok-4.3,glass_blur,1,97,airplane,ship,ship,1,0,0.6,0.00015685
gpt_terra,openai/gpt-5.6-terra,glass_blur,1,74,airplane,frog,frog,1,0,2.347,0.00016
gpt_terra,openai/gpt-5.6-terra,glass_blur,1,97,airplane,bird,bird,1,0,0.864,0.00016
gemini,google/gemini-3.1-flash-lite,glass_blur,1,90,airplane,ship,ship,1,0,1.398,0.0002845
gpt_luna,openai/gpt-5.6-luna,glass_blur,1,97,airplane,airplane,airplane,1,1,0.922,1.72e-05
kimi,moonshotai/kimi-k3,glass_blur,1,97,airplane,airplane,airplane,1,1,0.842,0.00034485
claude_opus,anthropic/claude-opus-5,glass_blur,1,27,airplane,bird,bird,1,0,5.632,0.00278
claude_haiku,anthropic/claude-haiku-4.5,glass_blur,1,98,airplane,airplane,airplane,1,1,0.773,8.2e-05
gemini,google/gemini-3.1-flash-lite,glass_blur,1,97,airplane,airplane,airplane,1,1,1.342,0.0002845
claude_opus,anthropic/claude-opus-5,glass_blur,1,52,airplane,airplane,airplane,1,1,4.293,0.00183
claude_sonnet,anthropic/claude-sonnet-5,glass_blur,1,90,airplane,airplane,airplane,1,1,2.512,0.000212
kimi,moonshotai/kimi-k3,glass_blur,1,98,airplane,airplane,airplane,1,1,0.796,0.00034485
gpt_terra,openai/gpt-5.6-terra,glass_blur,1,98,airplane,frog,frog,1,0,0.964,0.00016
gpt_sol,openai/gpt-5.6-sol,glass_blur,1,98,airplane,airplane,airplane,1,1,1.009,0.00016
grok,x-ai/grok-4.3,glass_blur,1,98,airplane,frog,frog,1,0,0.897,8.965e-05
gpt_sol,openai/gpt-5.6-sol,glass_blur,1,97,airplane,airplane,airplane,1,1,1.877,0.00016
gpt_luna,openai/gpt-5.6-luna,glass_blur,1,98,airplane,bird,bird,1,0,1.074,1.6e-05
claude_haiku,anthropic/claude-haiku-4.5,glass_blur,1,111,airplane,airplane,airplane,1,1,0.811,8.2e-05
gemini,google/gemini-3.1-flash-lite,glass_blur,1,98,airplane,airplane,airplane,1,1,1.322,0.0002845
claude_sonnet,anthropic/claude-sonnet-5,glass_blur,1,97,airplane,airplane,airplane,1,1,2.511,0.000212
gpt_sol,openai/gpt-5.6-sol,glass_blur,1,111,airplane,airplane,airplane,1,1,0.862,0.00016
grok,x-ai/grok-4.3,glass_blur,1,111,airplane,ship,ship,1,0,0.596,8.965e-05
gpt_terra,openai/gpt-5.6-terra,glass_blur,1,111,airplane,bird,bird,1,0,0.926,0.00016
kimi,moonshotai/kimi-k3,glass_blur,1,111,airplane,bird,bird,1,0,0.784,0.0003306
claude_haiku,anthropic/claude-haiku-4.5,glass_blur,1,116,airplane,bird,bird,1,0,0.817,8.2e-05
